slug,name,concept,originalCharacter,description,price,depositAmount,inStock,preOrder,images,colors,features,category,badge,active
star-hunters,Star Hunters,🌟 Cazadores de Estrellas,false,"Aventureros cósmicos que viajan entre galaxias en busca de estrellas perdidas. Con sus trajes espaciales brillantes y sus mochilas de propulsión, están listos para cualquier misión intergaláctica.",380.00,190.00,false,true,"[]","[""#FF6B9D"",""#4A90E2"",""#FFD700""]","[""Traje espacial con luces LED"",""Mochila de propulsión removible"",""Casco con visor transparente"",""Altura: 25cm""]",space-adventure,new,true
chaos-cat,Chaos Cat,🐱 Gato del Caos,false,"Un felino travieso del multiverso que deja un rastro de travesuras por donde pasa. Su pelaje cambia de color según su estado de ánimo y sus ojos brillan con energía caótica.",380.00,190.00,false,true,"[]","[""#9B59B6"",""#E74C3C"",""#F39C12""]","[""Pelaje suave con detalles holográficos"",""Ojos con brillo nocturno"",""Cola flexible y posable"",""Altura: 20cm""]",fantasy-creatures,hot,true
kosmik,Kosmik,🌌 Guardián Cósmico,false,"Protector de las dimensiones, nacido de la energía de mil estrellas. Sus alas brillan con el poder del cosmos y puede viajar a través del espacio-tiempo.",380.00,190.00,false,true,"[]","[""#6C5CE7"",""#A29BFE"",""#74B9FF""]","[""Alas con efecto holográfico"",""Cuerpo con acabado metalizado"",""Base giratoria incluida"",""Altura: 28cm""]",space-adventure,exclusive,true
sky-pup,Sky Pup,🐕 Cachorro Volador,false,"Un adorable cachorro con alas esponjosas que surca los cielos en busca de aventuras. Su pelaje es suave como las nubes y su cola mueve las brisas.",380.00,190.00,false,true,"[]","[""#87CEEB"",""#FFB6C1"",""#FFFFFF""]","[""Alas de peluche extra suaves"",""Collar con campana sonora"",""Expresión tierna y detallada"",""Altura: 18cm""]",cute-companions,new,true
grunoncito,Gruñoncito,😾 Pequeño Gruñón,false,"Este pequeño tiene cara de pocos amigos pero un corazón de oro. Siempre tiene una expresión seria que hace reír a todos, aunque en secreto le encantan los abrazos.",380.00,190.00,false,true,"[]","[""#8B7355"",""#D2691E"",""#F5DEB3""]","[""Expresión facial única y graciosa"",""Pelaje texturizado realista"",""Brazos cruzados en pose característica"",""Altura: 22cm""]",funny-friends,hot,true
long-arms,Long Arms,🦾 Brazos Largos,false,"Criatura peculiar con extremidades extensibles que le permiten alcanzar cualquier cosa. Es el mejor amigo para recuperar objetos lejanos y dar los abrazos más largos del universo.",380.00,190.00,false,true,"[]","[""#20B2AA"",""#48D1CC"",""#E0FFFF""]","[""Brazos articulados y extensibles"",""Manos con dedos flexibles"",""Sonrisa amigable"",""Altura: 26cm (brazos extendidos: 45cm)""]",funny-friends,new,true
sleepy-kitty,Sleepy Kitty,😴 Gatito Somnoliento,false,"Un adorable gatito que siempre está en busca del lugar perfecto para una siesta. Viene con su propia almohada de nubes y ronronea suavemente cuando lo abrazas.",380.00,190.00,false,true,"[]","[""#FFB6C1"",""#E6E6FA"",""#FFFFFF""]","[""Incluye almohada de nubes miniatura"",""Ojos semicerrados con pestañas"",""Pelaje ultra suave"",""Altura: 16cm""]",cute-companions,hot,true
sunny-pup,Sunny Pup,☀️ Cachorro Solar,false,"Un cachorro radiante que lleva el sol a donde va. Su pelaje brilla con energía solar y su presencia ilumina cualquier habitación.",380.00,190.00,false,true,"[]","[""#FFD700"",""#FFA500"",""#FF6347""]","[""Pelaje con efecto brillante"",""Rayos solares removibles"",""Base luminosa (pilas incluidas)"",""Altura: 24cm""]",space-adventure,exclusive,true
pixel-jester,Pixel Jester,🎮 Bufón de Píxeles,false,"Un personaje saltado directamente de un videojuego retro. Se mueve con animaciones de 8-bits y deja un rastro de píxeles brillantes. Es el favorito de los gamers.",380.00,190.00,false,true,"[]","[""#FF00FF"",""#00FFFF"",""#FFFF00""]","[""Diseño inspirado en gráficos retro"",""Detalles pixelados tridimensionales"",""Efectos de sonido 8-bit (botón activable)"",""Altura: 21cm""]",gaming-heroes,new,true
purple-bunny,Purple Bunny,🐰 Conejito Púrpura,false,"Un conejo místico de un bosque encantado. Sus orejas largas captan los susurros del viento y su pelaje morado brilla bajo la luz de la luna.",380.00,190.00,false,true,"[]","[""#9370DB"",""#BA55D3"",""#DDA0DD""]","[""Orejas extra largas y flexibles"",""Pelaje con brillo nacarado"",""Pompón de cola esponjoso"",""Altura: 23cm""]",fantasy-creatures,hot,true
sawbite,Sawbite,🦷 Mordisco Aserrado,false,"Una criatura marina con dientes afilados pero una personalidad amigable. A pesar de su apariencia intimidante, solo quiere jugar y hacer nuevos amigos.",380.00,190.00,false,true,"[]","[""#4682B4"",""#5F9EA0"",""#B0C4DE""]","[""Mandíbula articulada"",""Dientes de goma suave"",""Aletas texturizadas"",""Altura: 19cm""]",ocean-buddies,exclusive,true
dark-bunny,Dark Bunny,🌑 Conejito Oscuro,false,"El hermano misterioso del Purple Bunny. Emerge de las sombras con un aura enigmática, pero su corazón es tan tierno como su pelaje oscuro.",380.00,190.00,false,true,"[]","[""#2F4F4F"",""#36454F"",""#708090""]","[""Pelaje negro aterciopelado"",""Ojos con brillo rojo sutil"",""Capa removible"",""Altura: 23cm""]",fantasy-creatures,new,true
sweet-bunny,Sweet Bunny,🍬 Conejito Dulce,false,"Un conejito hecho de algodón de azúcar y sueños. Huele a vainilla y deja un rastro de purpurina comestible. Es la mascota perfecta para los amantes de los dulces.",380.00,190.00,false,true,"[]","[""#FFB6D9"",""#FFC0CB"",""#FFDDF4""]","[""Textura de algodón de azúcar"",""Aroma a vainilla incorporado"",""Accesorios con forma de dulces"",""Altura: 20cm""]",cute-companions,hot,true
